oldidentifierfrompreviousfile,fid,src_agency,latitude,longitude,date,sizeha,cause,protzone,ecoz_name,wildlat1,coordinates,Unnamed: 0_y,coordinates1,climlatitude,climlongitude,firelat_radians,firelong_radians,climlat_radians,climlong_radians,distance_km
48336,329403,QC,50.2158,-76.4538,03-07-2018,0,H,Intensive,Boreal Shield East,"(50, 55]","50.2158,-76.4538",115,"49.7578,-77.7931",49.7578,-77.7931,0.876431047,-1.334370536,0.868437439,-1.35774573,108.3828344
48337,329404,QC,50.1233,-78.3339,05-07-2018,129.4,L,Nordique,Boreal Shield East,"(50, 55]","50.1233,-78.3339",115,"49.7578,-77.7931",49.7578,-77.7931,0.874816617,-1.367184471,0.868437439,-1.35774573,56.08525524
48338,329405,QC,50.0142,-76.7092,06-07-2018,7.5,L,Intensive,Boreal Shield East,"(50, 55]","50.0142,-76.7092",115,"49.7578,-77.7931",49.7578,-77.7931,0.872912463,-1.338828107,0.868437439,-1.35774573,82.6703851
48339,329406,QC,50.9275,-76.628,06-06-2017,6.2,L,Intensive,Boreal Shield East,"(50, 55]","50.9275,-76.628",115,"49.7578,-77.7931",49.7578,-77.7931,0.888852555,-1.337410899,0.868437439,-1.35774573,154.0182272
48340,329407,QC,50.0236,-76.5147,06-06-2017,4951.5,L,Intensive,Boreal Shield East,"(50, 55]","50.0236,-76.5147",115,"49.7578,-77.7931",49.7578,-77.7931,0.873076524,-1.335433441,0.868437439,-1.35774573,96.17005504
48341,329415,QC,50.7558,-77.7978,02-07-2018,252,L,Intensive,Boreal Shield East,"(50, 55]","50.7558,-77.7978",245,"51.4733,-78.7583",51.4733,-78.7583,0.885855824,-1.357827761,0.898378562,-1.374591648,104.1465633
48342,329416,QC,49.6369,-79.1904,05-07-2018,140,L,Intensive,Boreal Shield East,"(45, 50]","49.6369,-79.1904",115,"49.7578,-77.7931",49.7578,-77.7931,0.866327335,-1.382133216,0.868437439,-1.35774573,101.3289072
48343,329417,QC,50.3875,-79.0128,08-07-2018,67.5,L,Nordique,Boreal Shield East,"(50, 55]","50.3875,-79.0128",115,"49.7578,-77.7931",49.7578,-77.7931,0.879427777,-1.379033511,0.868437439,-1.35774573,111.6399444
48344,329418,QC,50.3711,-79.0031,01-07-2018,133.7,L,Nordique,Boreal Shield East,"(50, 55]","50.3711,-79.0031",115,"49.7578,-77.7931",49.7578,-77.7931,0.879141543,-1.378864214,0.868437439,-1.35774573,109.974713
48345,329419,QC,50.0369,-79.4272,13-07-2018,25,L,Intensive,Boreal Shield East,"(50, 55]","50.0369,-79.4272",115,"49.7578,-77.7931",49.7578,-77.7931,0.873308652,-1.386266156,0.868437439,-1.35774573,121.0116651
48346,329420,QC,49.6229,-78.9601,30-07-2018,0,L,Intensive,Boreal Shield East,"(45, 50]","49.6229,-78.9601",115,"49.7578,-77.7931",49.7578,-77.7931,0.866082989,-1.378113723,0.868437439,-1.35774573,85.22217316
48347,329421,QC,50.3258,-78.9944,12-09-2018,4,L,Nordique,Boreal Shield East,"(50, 55]","50.3258,-78.9944",115,"49.7578,-77.7931",49.7578,-77.7931,0.878350909,-1.378712371,0.868437439,-1.35774573,106.460637
48348,329426,QC,50.3556,-68.381,28-08-2019,0.1,H,Intensive,Boreal Shield East,"(50, 55]","50.3556,-68.381",53,"49.3167,-67.6167",49.3167,-67.6167,0.878871017,-1.193473596,0.860738791,-1.180134044,127.7832957
48349,329427,QC,50.5425,-68.4533,28-06-2018,0,H,Intensive,Boreal Shield East,"(50, 55]","50.5425,-68.4533",117,"50.6564,-70.5319",50.6564,-70.5319,0.882133037,-1.194735469,0.884120967,-1.231013883,147.1551389
48350,329428,QC,50.4782,-69.2095,09-07-2018,4.5,L,Intensive,Boreal Shield East,"(50, 55]","50.4782,-69.2095",117,"50.6564,-70.5319",50.6564,-70.5319,0.88101079,-1.207933649,0.884120967,-1.231013883,95.41568987
48351,329429,QC,50.1194,-68.7055,09-07-2018,0.9,L,Intensive,Boreal Shield East,"(50, 55]","50.1194,-68.7055",108,"49.1167,-68.3833",49.1167,-68.3833,0.874748549,-1.199137189,0.857248133,-1.193513738,113.8138604
48352,329430,QC,50.6289,-69.2373,28-07-2018,10.7,L,Intensive,Boreal Shield East,"(50, 55]","50.6289,-69.2373",117,"50.6564,-70.5319",50.6564,-70.5319,0.883641002,-1.20841885,0.884120967,-1.231013883,91.28119083
48353,329431,QC,50.4357,-68.7,01-08-2018,0.1,L,Intensive,Boreal Shield East,"(50, 55]","50.4357,-68.7",117,"50.6564,-70.5319",50.6564,-70.5319,0.880269026,-1.199041196,0.884120967,-1.231013883,131.6609036
48354,329432,QC,49.8359,-68.189,02-08-2017,0,L,Intensive,Boreal Shield East,"(45, 50]","49.8359,-68.189",53,"49.3167,-67.6167",49.3167,-67.6167,0.869800541,-1.190122564,0.860738791,-1.180134044,70.91818097
48355,329488,QC,49.7863,-72.8544,08-07-2019,4.6,L,Intensive,Boreal Shield East,"(45, 50]","49.7863,-72.8544",19,"49.2786,-73.3556",49.2786,-73.3556,0.868934857,-1.271549155,0.860073821,-1.280296745,67.00459961
48356,329489,QC,49.5919,-72.7581,27-07-2019,0.6,H,Intensive,Boreal Shield East,"(45, 50]","49.5919,-72.7581",19,"49.2786,-73.3556",49.2786,-73.3556,0.865541937,-1.269868402,0.860073821,-1.280296745,55.4659968
48357,329490,QC,49.9808,-70.5962,31-07-2019,0.1,H,Intensive,Boreal Shield East,"(45, 50]","49.9808,-70.5962",35,"49.8403,-71.1683",49.8403,-71.1683,0.872329523,-1.232136129,0.869877335,-1.242121158,43.81690207
