,FID,SRC_AGENCY,LATITUDE,LONGITUDE,REP_DATE,SIZE_HA,CAUSE,PROTZONE,ECOZ_NAME,FireLocation,WeatherLocation,x,y,MAX_REL_HUMIDITY,LOCAL_DAY,ID,MEAN_TEMPERATURE,MIN_REL_HUMIDITY,PROVINCE_CODE,LOCAL_MONTH,TOTAL_RAIN,STATION_NAME,SPEED_MAX_GUST,TOTAL_PRECIPITATION,CLIMATE_IDENTIFIER,MAX_TEMPERATURE,LOCAL_YEAR,TOTAL_SNOW,MIN_TEMPERATURE,SNOW_ON_GROUND,Class
235,370834,QC,51.5378,-61.8633,2020-06-13,0.0,L,nordique,Boreal Shield East,"(51.5378, -61.8633)","50.19000111111111,-61.81083361111112",-61.81083361111112,50.19000111111111,91.1,13.0,7045401.2020.6.13,16.673333333333332,59.8,QC,6.0,0.0,NATASHQUAN AIRPORT,43.0,0.0,7045401,13.9,2020.0,0.0,4.9,0.0,0
236,370835,QC,50.7664,-59.1904,2020-06-14,0.0,L,nordique,Boreal Shield East,"(50.7664, -59.1904)","50.465,-59.63944444444444",-59.63944444444444,50.465,91.1,14.0,7041382.2020.6.14,13.626666666666665,61.0,QC,6.0,0.0,CHEVERY,36.916666666666664,0.0,7041382,14.3,2020.0,0.0,-4.1,0.0,0
237,370846,QC,51.9117,-59.7019,2020-06-13,0.0,L,nordique,Boreal Shield East,"(51.9117, -59.7019)","50.465,-59.63944444444444",-59.63944444444444,50.465,97.5016835016835,13.0,7041382.2020.6.13,5.233333333333333,63.50841750841751,QC,6.0,0.0,CHEVERY,35.0,0.0,7041382,13.0,2020.0,0.0,-4.1,0.0,0
238,370855,QC,51.1536,-62.0678,2020-06-13,0.0,L,nordique,Boreal Shield East,"(51.1536, -62.0678)","50.19000111111111,-61.81083361111112",-61.81083361111112,50.19000111111111,91.1,13.0,7045401.2020.6.13,16.673333333333332,59.8,QC,6.0,0.0,NATASHQUAN AIRPORT,43.0,0.0,7045401,13.9,2020.0,0.0,4.9,0.0,0
239,370862,QC,49.1168,-65.6373,2020-07-01,0.0,L,intensive,Atlantic Maritime,"(49.1168, -65.6373)","49.25083333333333,-65.32472222222222",-65.32472222222222,49.25083333333333,91.1,1.0,7051163.2020.7.1,17.5,39.333333333333336,QC,7.0,0.0,CAP-MADELEINE,47.0,0.0,7051163,14.3,2020.0,0.0,-4.1,0.0,0
240,371077,QC,48.266,-78.9169,2021-04-04,0.0,L,intensive,Boreal Shield East,"(48.266, -78.9169)","48.20611111111111,-78.83555555555556",-78.83555555555556,48.20611111111111,91.1,4.0,7086719.2021.4.4,3.8,36.8,QC,4.0,0.0,ROUYN-NORANDA A,32.0,0.0,7086719,11.2,2021.0,0.0,-4.1,0.0,0
241,371202,QC,49.7951,-76.662,2021-04-22,0.0,L,intensive,Boreal Shield East,"(49.7951, -76.662)","49.757783333333336,-77.79307222222222",-77.79307222222222,49.757783333333336,91.1,22.0,7094637.2021.4.22,-5.5,44.0,QC,4.0,0.0,MATAGAMI,41.0,0.0,7094637,14.3,2021.0,0.0,-4.1,0.0,0
242,371207,QC,52.1222,-66.8319,2021-04-15,0.0,L,nordique,Boreal Shield East,"(52.1222, -66.8319)","50.223333333333336,-66.26555555555555",-66.26555555555555,50.223333333333336,91.1,15.0,7047911.2021.4.15,9.726666666666667,59.8,QC,4.0,0.0,SEPT-ILES A,51.0,0.0,7047911,35.5,2021.0,0.0,-4.1,0.0,0
243,371210,QC,53.845,-72.0528,2021-04-15,0.0,L,nordique,Taiga Shield East,"(53.845, -72.0528)","53.75472222222222,-73.67527777777778",-73.67527777777778,53.75472222222222,91.1,15.0,7093714.2021.4.15,2.7,59.8,QC,4.0,0.0,LA GRANDE 4 A,45.0,0.0,7093714,6.5,2021.0,0.0,-1.1,0.0,0
244,371211,QC,53.673,-71.7513,2021-04-15,0.0,L,nordique,Taiga Shield East,"(53.673, -71.7513)","53.75472222222222,-73.67527777777778",-73.67527777777778,53.75472222222222,91.1,15.0,7093714.2021.4.15,2.7,59.8,QC,4.0,0.0,LA GRANDE 4 A,45.0,0.0,7093714,6.5,2021.0,0.0,-1.1,0.0,0
